timestamp,ear,pitch,yaw,roll,drowsiness_score,alert_level
2026-03-16 16:22:03,0.323,-63399.74,13526.82,6224.22,25.0,none
2026-03-16 16:22:04,0.300,-35878.09,397.97,4987.99,25.0,none
2026-03-16 16:22:05,0.216,-60968.58,9950.68,3853.73,29.7,none
2026-03-16 16:22:06,0.253,-60677.19,4495.59,3082.42,38.4,warning_head
2026-03-16 16:22:07,0.293,-57988.18,8007.16,1687.29,37.7,warning_head
2026-03-16 16:22:08,0.257,-59638.69,6276.01,1021.39,33.1,warning_head
2026-03-16 16:22:09,0.271,-57548.98,6658.57,941.73,30.6,warning_head
2026-03-16 16:22:10,0.274,-63087.07,7200.41,746.73,26.1,warning_head
2026-03-16 16:22:11,0.296,-61860.90,7609.85,1984.50,41.1,escalated
2026-03-16 16:22:12,0.261,-59846.70,8082.75,2798.65,36.6,escalated
2026-03-16 16:22:13,0.196,-56281.04,5762.34,2834.13,38.2,escalated
2026-03-16 16:22:14,0.287,-61427.65,7212.68,3249.05,41.4,escalated
2026-03-16 16:22:15,0.242,-61089.47,6455.19,2370.04,36.8,escalated
2026-03-16 16:22:16,0.278,-62272.34,4308.82,2777.90,32.1,escalated
2026-03-16 16:22:17,0.282,-62017.43,3565.52,2401.54,29.2,escalated
2026-03-16 16:22:18,0.242,-62610.62,3457.04,2343.84,33.0,escalated
2026-03-16 16:22:19,0.093,-62707.02,2805.61,3016.46,62.4,escalated
2026-03-16 16:22:20,0.115,-62810.82,3092.80,3106.71,85.0,escalated
2026-03-16 16:22:21,0.114,-63054.24,1069.58,3096.99,85.0,escalated
2026-03-16 16:22:22,0.109,-62859.42,782.28,3228.82,84.8,escalated
2026-03-16 16:22:23,0.214,-60201.74,1693.51,3639.66,84.5,escalated
2026-03-16 16:22:24,0.212,-60524.74,9979.12,4560.92,80.0,escalated
2026-03-16 16:22:25,0.234,-61895.08,4628.53,5774.11,75.5,none
