timestamp,ear,pitch,yaw,roll,drowsiness_score,alert_level
2026-03-15 12:58:49,0.270,64519.18,-1648.53,35.24,3.8,none
2026-03-15 12:58:50,0.275,64636.99,1389.79,-407.21,25.5,none
2026-03-15 12:58:51,0.260,64710.23,196.34,-169.54,24.8,none
2026-03-15 12:58:52,0.248,60554.01,-1020.53,127.01,20.1,none
2026-03-15 12:58:53,0.241,-61979.04,-871.62,-198.51,21.1,none
2026-03-15 12:58:54,0.250,64095.91,-1858.85,457.49,45.6,none
2026-03-15 12:58:55,0.219,61599.19,-924.65,269.06,41.0,none
2026-03-15 12:58:56,0.216,58187.27,6309.24,-2312.58,39.3,warning_yawn
2026-03-15 12:58:57,0.256,63027.73,139.86,-1405.72,49.8,none
2026-03-15 12:58:58,0.250,62514.11,408.47,-1488.65,45.1,none
2026-03-15 12:58:59,0.237,62651.32,296.10,-1402.38,40.5,none
2026-03-15 12:59:00,0.232,62723.27,677.77,-1480.70,35.8,none
2026-03-15 12:59:01,0.190,62672.32,558.26,-1428.18,31.2,none
2026-03-15 12:59:02,0.253,62842.07,42.27,-1315.65,57.5,none
2026-03-15 12:59:03,0.224,62969.62,174.51,-1282.93,52.9,none
2026-03-15 12:59:04,0.097,63386.46,-841.22,-1288.22,48.2,none
2026-03-15 12:59:05,0.263,63591.32,109.49,-1226.23,59.0,none
2026-03-15 12:59:06,0.227,63584.32,658.32,-1298.14,54.3,none
2026-03-15 12:59:07,0.229,63428.83,841.40,-1344.91,49.7,none
2026-03-15 12:59:08,0.154,64062.95,-280.38,-1337.23,45.0,warning_ear
2026-03-15 12:59:09,0.219,61272.13,1320.77,-1393.37,43.1,none
2026-03-15 12:59:10,0.056,59737.32,2671.60,-1792.44,53.2,warning_yawn
2026-03-15 12:59:11,0.204,58056.22,7381.54,-3389.02,71.8,warning_yawn
2026-03-15 12:59:12,0.231,57445.31,10423.28,-4182.41,67.2,warning_yawn
2026-03-15 12:59:13,0.231,57653.85,8709.04,-3326.97,62.5,warning_yawn
2026-03-15 12:59:14,0.221,62312.06,708.30,-944.95,57.9,none
2026-03-15 12:59:15,0.247,61683.87,3914.93,-1222.08,53.2,none
2026-03-15 12:59:16,0.249,63472.68,632.41,-465.92,48.6,none
2026-03-15 12:59:17,0.319,60399.38,-1212.10,-1210.33,43.9,none
