timestamp,ear,pitch,yaw,roll,drowsiness_score,alert_level
2026-03-16 15:25:10,0.275,-62780.52,2936.18,605.38,26.9,none
2026-03-16 15:25:11,0.199,62668.97,1659.52,501.43,45.6,none
2026-03-16 15:25:12,0.211,64353.02,1630.49,-466.00,41.1,none
2026-03-16 15:25:13,0.240,-62741.53,-3791.46,20.62,36.4,none
2026-03-16 15:25:14,0.245,-62917.12,-479.89,-25.01,44.0,warning_head
2026-03-16 15:25:15,0.288,-63193.71,-279.54,132.63,39.3,warning_head
2026-03-16 15:25:16,0.175,-63658.88,-436.77,56.61,47.4,warning_head
2026-03-16 15:25:17,0.243,-64026.66,142.49,29.40,67.3,warning_head
2026-03-16 15:25:18,0.249,-64309.19,137.60,27.43,62.7,warning_head
2026-03-16 15:25:19,0.167,-63765.11,-488.95,12.52,60.9,warning_ear
2026-03-16 15:25:20,0.280,-62735.34,234.91,172.56,66.4,warning_head
2026-03-16 15:25:21,0.250,63870.79,1950.20,-260.14,61.8,none
2026-03-16 15:25:22,0.167,-63041.06,12649.18,-64179.90,57.1,warning_yawn
2026-03-16 15:25:23,0.212,62510.39,4019.29,-1532.69,52.5,warning_yawn
2026-03-16 15:25:24,0.223,62713.78,2333.48,-307.99,47.8,warning_yawn
2026-03-16 15:25:25,0.211,62816.67,2268.91,-473.75,43.2,warning_yawn
2026-03-16 15:25:26,0.223,-61383.92,-480.93,337.02,50.8,none
2026-03-16 15:25:27,0.290,-61837.62,483.26,61.95,46.2,warning_head
2026-03-16 15:25:28,0.292,-62688.62,-243.42,19.16,41.5,warning_head
2026-03-16 15:25:29,0.152,-62836.58,-118.83,39.07,57.6,warning_head
2026-03-16 15:25:30,0.121,-63249.41,-282.78,103.59,75.8,critical
2026-03-16 15:25:31,0.239,-63245.43,-175.33,-888.44,71.9,warning_head
2026-03-16 15:25:32,0.253,-61283.48,-966.28,9.98,67.3,escalated
