timestamp,ear,pitch,yaw,roll,drowsiness_score,alert_level
2026-03-16 16:22:52,0.258,62749.40,10889.63,2064.45,8.7,none
2026-03-16 16:22:53,0.209,-60775.67,-11195.14,-61281.40,4.8,none
2026-03-16 16:23:04,0.197,-60250.54,15380.64,3217.13,3.1,none
2026-03-16 16:23:05,0.262,-54446.53,9024.88,4801.55,57.1,none
2026-03-16 16:23:06,0.311,-56064.35,9940.06,2926.36,52.4,warning_head
2026-03-16 16:23:07,0.272,-56307.24,9420.08,2311.57,47.9,warning_head
2026-03-16 16:23:08,0.269,-57721.94,10420.40,2838.62,43.4,warning_head
2026-03-16 16:23:09,0.255,-57314.94,11259.67,3710.67,39.2,warning_head
2026-03-16 16:23:20,0.283,-60397.87,11102.82,3865.12,47.1,escalated
2026-03-16 16:23:21,0.236,-58255.19,11894.36,3284.36,66.5,escalated
2026-03-16 16:23:22,0.198,-56996.49,7266.20,2972.23,62.0,escalated
2026-03-16 16:23:31,0.179,-60224.25,13146.63,3816.41,58.2,escalated
2026-03-16 16:23:32,0.230,-54652.38,6429.73,4654.15,59.2,escalated
2026-03-16 16:23:33,0.091,-60672.79,5143.88,4617.97,58.0,escalated
2026-03-16 16:23:35,0.386,-57079.43,3895.96,-56589.38,74.0,none
2026-03-16 16:23:36,0.255,-63611.56,10296.28,-37838.77,72.5,none
