timestamp,ear,pitch,yaw,roll,drowsiness_score,alert_level
2026-03-14 18:33:18,0.197,62574.42,-2233.59,-3714.95,33.0,none
2026-03-14 18:33:19,0.221,-63060.99,225.28,3341.97,55.9,none
2026-03-14 18:33:20,0.272,62866.52,1346.23,1973.09,51.2,none
2026-03-14 18:33:21,0.223,59047.73,1799.22,1198.29,46.6,none
2026-03-14 18:33:22,0.223,54081.63,3080.95,155.41,41.9,none
2026-03-14 18:33:24,0.234,51507.58,4926.07,-159.62,37.3,none
2026-03-14 18:33:25,0.277,60640.44,1114.81,236.04,32.6,none
2026-03-14 18:33:26,0.254,-58430.41,2282.56,911.87,42.6,none
2026-03-14 18:33:27,0.190,-64640.94,369.75,1597.71,40.0,warning_head
2026-03-14 18:33:28,0.251,-63682.75,2234.11,488.99,42.2,none
2026-03-14 18:33:29,0.234,-64582.88,1888.37,577.14,37.7,none
2026-03-14 18:33:30,0.238,-63653.47,1605.37,495.63,39.5,warning_head
2026-03-14 18:33:31,0.236,-64224.55,1917.87,200.06,37.3,warning_head
2026-03-14 18:33:32,0.235,59268.76,5145.34,-672.18,42.4,none
2026-03-14 18:33:33,0.241,63352.33,3724.70,597.54,37.8,warning_yawn
2026-03-14 18:33:34,0.264,-64454.27,3307.06,522.63,43.0,none
2026-03-14 18:33:35,0.273,64666.85,2325.31,-663.06,38.4,none
2026-03-14 18:33:36,0.211,-61833.53,-2886.76,972.69,36.6,none
