timestamp,ear,pitch,yaw,roll,drowsiness_score,alert_level
2026-03-15 12:59:35,0.284,-61235.49,2647.14,-588.19,25.0,none
2026-03-15 12:59:36,0.243,-64118.11,1731.85,2857.84,39.5,warning_head
2026-03-15 12:59:37,0.270,-63224.83,2717.80,684.26,45.3,warning_head
2026-03-15 13:00:21,0.256,-33941.56,-662.72,-5487.41,41.0,escalated
2026-03-15 13:00:22,0.186,62434.95,-2469.15,733.60,36.6,none
2026-03-15 13:00:23,0.242,62933.45,-3242.89,930.18,33.6,none
2026-03-15 13:00:24,0.233,64218.52,-2821.92,918.98,29.0,none
2026-03-15 13:00:26,0.235,-64705.75,-1420.59,-13.83,24.3,none
2026-03-15 13:00:27,0.240,63931.25,-888.15,-213.90,38.7,none
2026-03-15 13:00:28,0.242,64544.72,-1129.46,-244.64,34.1,none
2026-03-15 13:00:29,0.217,59471.87,3705.13,-1256.49,29.6,none
2026-03-15 13:00:30,0.221,60277.39,-961.42,15.21,35.6,none
2026-03-15 13:00:31,0.266,-64505.39,-1201.91,-647.09,31.0,none
2026-03-15 13:00:32,0.205,59302.71,4067.99,-2144.34,40.4,warning_yawn
2026-03-15 13:00:33,0.224,58274.85,7211.63,-2527.34,38.3,warning_yawn
2026-03-15 13:00:34,0.234,57872.09,7190.03,-2526.69,37.6,warning_yawn
2026-03-15 13:00:35,0.113,57818.14,10067.73,-2748.68,65.8,warning_ear
2026-03-15 13:00:36,0.050,56389.15,6303.41,-1794.06,75.0,warning_ear
2026-03-15 13:00:37,0.078,55140.50,5143.81,-1435.62,74.8,escalated
2026-03-15 13:00:38,0.276,-61064.85,-1110.67,985.36,72.9,none
2026-03-15 13:00:39,0.275,-64394.91,-2645.11,450.02,68.4,warning_head
2026-03-15 13:00:40,0.265,64537.66,-2228.38,634.54,63.7,none
2026-03-15 13:00:41,0.236,-64690.72,-2957.78,706.84,59.1,none
2026-03-15 13:00:42,0.243,64051.31,-2905.11,1138.51,54.4,none
2026-03-15 13:00:43,0.244,-62298.08,-1462.03,843.57,49.8,none
2026-03-15 13:00:44,0.231,-61203.65,-71.38,1278.92,70.4,warning_head
2026-03-15 13:00:45,0.187,54961.42,-509.51,1590.21,65.8,none
2026-03-15 13:00:46,0.163,59014.20,-25.59,1581.52,61.1,none
2026-03-15 13:00:47,0.210,52515.98,405.54,1150.84,58.4,none
2026-03-15 13:00:48,0.200,63004.38,-1372.99,810.02,53.8,none
2026-03-15 13:00:49,0.122,-57880.93,-78.19,1097.40,62.4,warning_head
2026-03-15 13:00:50,0.246,61767.89,-2603.74,2158.53,70.4,none
2026-03-15 13:00:51,0.144,63578.17,-2295.44,2007.48,65.8,none
2026-03-15 13:00:52,0.107,-61152.57,-794.42,1528.07,84.8,critical
2026-03-15 13:00:53,0.255,-64750.15,-2283.37,1753.58,82.6,warning_head
2026-03-15 13:00:54,0.222,63254.61,-1821.27,1939.34,78.1,none
2026-03-15 13:00:55,0.220,62616.71,-2546.01,2268.80,73.4,none
2026-03-15 13:00:56,0.219,62589.23,-1878.44,2181.30,68.8,none
2026-03-15 13:00:57,0.072,63676.97,-1820.32,2258.83,64.1,warning_ear
2026-03-15 13:00:58,0.076,-58353.29,526.09,-63562.95,60.0,warning_ear
2026-03-15 13:00:59,0.083,64148.75,-1981.94,2896.14,59.9,warning_ear
2026-03-15 13:01:00,0.161,63634.44,-3084.67,3257.68,60.0,warning_ear
2026-03-15 13:01:01,0.162,62859.83,-2277.79,3031.00,57.0,none
2026-03-15 13:01:02,0.066,63498.84,-1808.57,2938.82,59.9,warning_ear
2026-03-15 13:01:03,0.228,63071.12,-2748.72,3132.46,58.5,none
2026-03-15 13:01:04,0.083,62965.26,-2029.75,2966.54,59.9,warning_ear
2026-03-15 13:01:05,0.216,62942.57,-2290.36,3169.07,59.7,none
2026-03-15 13:01:06,0.063,63157.77,-2172.78,3002.74,60.0,warning_ear
2026-03-15 13:01:08,0.077,63509.90,-1465.74,3110.19,59.9,warning_ear
2026-03-15 13:01:09,0.071,63245.66,-2139.11,3088.87,60.0,warning_ear
2026-03-15 13:01:10,0.088,62687.08,-2061.04,3138.07,59.9,warning_ear
2026-03-15 13:01:11,0.087,63045.47,-1917.37,3004.70,60.0,warning_ear
2026-03-15 13:01:12,0.054,63368.99,-1887.22,2892.04,59.9,escalated
2026-03-15 13:01:13,0.025,62514.73,-1659.08,3045.08,60.0,escalated
2026-03-15 13:01:14,0.058,62610.98,-2110.47,3202.03,59.9,escalated
2026-03-15 13:01:15,0.250,62969.97,-2467.15,3098.47,58.4,none
2026-03-15 13:01:16,0.251,62427.54,-3156.30,2565.63,53.7,none
